,artist,pixelsx,pixelsy,size_bytes,style,title,new_filename,filepath
0,Edgar Degas,5382.0,3349.0,1824204.0,Impressionism,Interior (The Rape),95360.jpg,five_classes/95360.jpg
1,Claude Monet,4540.0,3611.0,4873803.0,Impressionism,"The Manneport, Rock Arch West of Etretat",49757.jpg,five_classes/49757.jpg
2,Paul Signac,4464.0,3600.0,8730590.0,Impressionism,Rodez,53841.jpg,five_classes/53841.jpg
3,Paul Signac,4470.0,3348.0,8710775.0,Impressionism,The Look at Montauban in rain,81912.jpg,five_classes/81912.jpg
4,Ferdinand Hodler,3240.0,4548.0,9477034.0,Impressionism,Prayer in the Saint Pierre Cathedral in Geneva,17146.jpg,five_classes/17146.jpg
5,Valentin Serov,3555.0,4000.0,7852273.0,Impressionism,Girl with Peaches ,5241.jpg,five_classes/5241.jpg
6,Ferdinand Hodler,4296.0,3258.0,8639906.0,Impressionism,Samoëns,8943.jpg,five_classes/8943.jpg
7,Paul Signac,4482.0,3036.0,7731924.0,Impressionism,Le Havre with rain clouds,8250.jpg,five_classes/8250.jpg
8,Ferdinand Hodler,2964.0,4536.0,8758806.0,Impressionism,Seated bearded man,99956.jpg,five_classes/99956.jpg
9,Berthe Morisot,4480.0,2907.0,693550.0,Impressionism,At the Beach in Nice,93353.jpg,five_classes/93353.jpg
10,Paul Signac,4506.0,2856.0,6325370.0,Impressionism,Saint Paul de Vence,95477.jpg,five_classes/95477.jpg
11,Thomas Eakins,4051.0,3148.0,1998595.0,Impressionism,Columbus in Prison,71149.jpg,five_classes/71149.jpg
12,Claude Monet,4000.0,2961.0,2994688.0,Impressionism,"Poppy Field, Argenteuil",41682.jpg,five_classes/41682.jpg
13,Claude Monet,4075.0,2897.0,3973914.0,Impressionism,Gardener's House at Antibes,37256.jpg,five_classes/37256.jpg
14,Giuseppe de Nittis,3048.0,3872.0,1898410.0,Impressionism,A Lady from Naples,54668.jpg,five_classes/54668.jpg
15,Paul Signac,3444.0,3240.0,5567342.0,Impressionism,Floral still life,19464.jpg,five_classes/19464.jpg
16,Pierre-Auguste Renoir,2795.0,3988.0,5338594.0,Impressionism,Ambroise Vollard Portrait,3016.jpg,five_classes/3016.jpg
17,Claude Monet,3698.0,2968.0,1825788.0,Impressionism,Sunlight Effect under the Poplars,56641.jpg,five_classes/56641.jpg
18,Childe Hassam,2693.0,4039.0,7014011.0,Impressionism,"New York, Late Afternoon, Winter",3632.jpg,five_classes/3632.jpg
19,Claude Monet,2674.0,4000.0,3354401.0,Impressionism,"Rouen Cathedral, the Portal, Morning Effect",52850.jpg,five_classes/52850.jpg
20,Ferdinand Hodler,2802.0,3786.0,6651628.0,Impressionism,The netmender,36350.jpg,five_classes/36350.jpg
21,Claude Monet,3600.0,2934.0,1209689.0,Impressionism,The Allee du Champ de Foire at Argenteuil,97356.jpg,five_classes/97356.jpg
22,Edgar Degas,3052.0,3452.0,2485066.0,Impressionism,Repetition of the Dance (detail),92192.jpg,five_classes/92192.jpg
23,Alfred Sisley,3912.0,2604.0,6790328.0,Impressionism,Under the bridge at Hampton Court,98622.jpg,five_classes/98622.jpg
24,Alfred Sisley,3648.0,2736.0,4670932.0,Impressionism,The Road to Louveciennes Montbuisson,46324.jpg,five_classes/46324.jpg
25,Claude Monet,3500.0,2591.0,5926384.0,Impressionism,Haystack at Giverny,52023.jpg,five_classes/52023.jpg
26,Childe Hassam,2800.0,3192.0,3238154.0,Impressionism,Spring on West 78th Street,21276.jpg,five_classes/21276.jpg
27,Odilon Redon,3324.0,2652.0,5556119.0,Impressionism,Breton harbour,48925.jpg,five_classes/48925.jpg
28,Edgar Degas,2715.0,3156.0,1940855.0,Impressionism,The Ballet Class,99133.jpg,five_classes/99133.jpg
29,Edgar Degas,2717.0,3148.0,1773407.0,Impressionism,Portrait after a Costume Ball (Portrait of Madame Dietz Monnin),52238.jpg,five_classes/52238.jpg
30,"White Frost, Sunrise",3500.0,2428.0,2236847.0,Impressionism,Haystacks,28824.jpg,five_classes/28824.jpg
31,Paul Cezanne,3176.0,2662.0,881970.0,Impressionism,The Temptation of St. Anthony,90572.jpg,five_classes/90572.jpg
