,artist,pixelsx,pixelsy,size_bytes,style,title,new_filename,filepath
0,Eugene Boudin,1129.0,701.0,268010.0,Impressionism,"Trouville, Beach Scene",89516.jpg,five_classes/89516.jpg
1,Edgar Degas,728.0,1070.0,197637.0,Impressionism,Woman with Loose Red Hair,31047.jpg,five_classes/31047.jpg
2,John Singer Sargent,1218.0,845.0,83150.0,Impressionism,Melon Boats,64990.jpg,five_classes/64990.jpg
3,Paul Cezanne,2536.0,3249.0,635225.0,Impressionism,Self-portrait,8521.jpg,five_classes/8521.jpg
4,Gustave Caillebotte,2221.0,1409.0,660860.0,Impressionism,Game Birds And Lemons,60752.jpg,five_classes/60752.jpg
5,Camille Pissarro,1056.0,883.0,747379.0,Impressionism,Outer harbour of Le Havre,91541.jpg,five_classes/91541.jpg
6,William Merritt Chase,1140.0,735.0,201521.0,Impressionism,Landscape near Coney Island,45141.jpg,five_classes/45141.jpg
7,Henri Martin,1065.0,911.0,422828.0,Impressionism,Lavandiere on the Pond Bank,91528.jpg,five_classes/91528.jpg
8,Federico Zandomeneghi,392.0,480.0,62808.0,Impressionism,The Flower Seller,74950.jpg,five_classes/74950.jpg
9,Rudolf Schweitzer-Cumpana,730.0,1000.0,270274.0,Impressionism,Peasant from Oltenia with Yoke,85684.jpg,five_classes/85684.jpg
10,Eugene Boudin,976.0,682.0,120607.0,Impressionism,Entrance to the harbor,4660.jpg,five_classes/4660.jpg
11,Vasile Popescu,1000.0,814.0,146399.0,Impressionism,Houses in Prahova Valley,17392.jpg,five_classes/17392.jpg
12,Paul Cezanne,1269.0,1024.0,259410.0,Impressionism,The Etang des Soeurs at Osny,95284.jpg,five_classes/95284.jpg
13,Gregoire Boonzaier,535.0,413.0,129634.0,Impressionism,Hermanus Seascape,16270.jpg,five_classes/16270.jpg
14,Robert Julian Onderdonk,1210.0,1024.0,1673752.0,Impressionism,A Winter Morning on the Guadalupe River,31169.jpg,five_classes/31169.jpg
15,Paul Gauguin,605.0,504.0,93886.0,Impressionism,Landscape near Osny,49103.jpg,five_classes/49103.jpg
16,John Singer Sargent,816.0,1067.0,293859.0,Impressionism,Cashmere Shawl,65934.jpg,five_classes/65934.jpg
17,Raoul Dufy,715.0,537.0,331920.0,Impressionism,Parisian Bridge,56385.jpg,five_classes/56385.jpg
18,Leon Dabo,570.0,452.0,243421.0,Impressionism,A Study of Talloires,57750.jpg,five_classes/57750.jpg
19,William James Glackens,1024.0,826.0,342780.0,Impressionism,Bathing at Bellport,16658.jpg,five_classes/16658.jpg
20,Alfred Sisley,1100.0,768.0,197900.0,Impressionism,Bougival,72.jpg,five_classes/72.jpg
21,Marianne North,944.0,679.0,105386.0,Impressionism,View of Round Island and a Part of St Anne's from Quarantine Island,90544.jpg,five_classes/90544.jpg
22,Micaela Eleutheriade,1000.0,930.0,193685.0,Impressionism,Prahova Valley Landscape,23440.jpg,five_classes/23440.jpg
23,Konstantin Korovin,753.0,1000.0,163934.0,Impressionism,Creek ,68232.jpg,five_classes/68232.jpg
24,Berthe Morisot,748.0,930.0,163660.0,Impressionism,Young Girl with a Parrot,16219.jpg,five_classes/16219.jpg
25,Antoine Blanchard,907.0,750.0,852220.0,Impressionism,Omnibus on the place de la Madeleine,4507.jpg,five_classes/4507.jpg
26,Camille Pissarro,1280.0,977.0,494508.0,Impressionism,Landscape at Osny near watering,33435.jpg,five_classes/33435.jpg
27,Antoine Blanchard,1139.0,750.0,1290745.0,Impressionism,Flower market Madeleine,57003.jpg,five_classes/57003.jpg
28,Eugene Boudin,3129.0,2358.0,1739629.0,Impressionism,Marina,90352.jpg,five_classes/90352.jpg
29,Laszlo Mednyanszky,624.0,812.0,234907.0,Impressionism,Trees with Hoar-frost,31582.jpg,five_classes/31582.jpg
30,Antoine Blanchard,1034.0,750.0,745663.0,Impressionism,"Champs Elysees, Arc de Triomphe",69275.jpg,five_classes/69275.jpg
